Company ID,Category,Hash
1,Retail,8659073855545147165
1,Dowjones,-7335146667561650934
1,SupermarketChains,-5036390465895693944
2,ECommerce,-6817648621524646992
2,Internet,9213653917245580410
2,Tech,2373442895034963753
2,Retail,8659073855545147165
3,Courier,8102328225368103528
3,Transportation,3140530495907979414
4,Retail,8659073855545147165
4,SupermarketChains,-5036390465895693944
5,Retail,8659073855545147165
5,Dowjones,-7335146667561650934
6,Retail,8659073855545147165
6,SupermarketChains,-5036390465895693944
7,Beverages,1448174480227667635
8,Investment,5327786409141802125
9,Healthcare,4999567491202240723
9,Insurance,7000230057071041224
9,Dowjones,-7335146667561650934
10,Courier,8102328225368103528
10,Transportation,3140530495907979414
11,ITservices,5294247540503510568
11,Professionalservices,2898755620386977973
12,Retail,8659073855545147165
12,Clothing,-4644728342255861508
13,Beverages,1448174480227667635
14,Retail,8659073855545147165
14,SupermarketChains,-5036390465895693944
15,Retail,8659073855545147165
16,ITservices,5294247540503510568
16,Professionalservices,2898755620386977973
17,Banks,5423772148476418639
17,Financialservices,996514602531674170
17,Dowjones,-7335146667561650934
18,Tech,2373442895034963753
18,Software,766138134349121984
18,Dowjones,-7335146667561650934
19,Manufacturing,918788116521242338
19,Electronics,-2937793794179883072
20,Food,-1791250089609384727
21,Banks,5423772148476418639
21,Financialservices,996514602531674170
22,Banks,5423772148476418639
22,Financialservices,996514602531674170
23,Software,766138134349121984
23,Tech,2373442895034963753
23,Dowjones,-7335146667561650934
23,Videogames,1877993705229312391
24,Healthcare,4999567491202240723
24,Pharmaceuticals,8926960006196816921
24,Drugstore,3865013570724868484
24,Retail,8659073855545147165
25,Banks,5423772148476418639
25,Financialservices,996514602531674170
26,Healthcare,4999567491202240723
27,Telecommunication,-366396660629370360
28,Dowjones,-7335146667561650934
28,Retail,8659073855545147165
28,Drugstore,3865013570724868484
28,Pharmaceuticals,8926960006196816921
29,Telecommunication,-366396660629370360
29,MediaPress,7487475509848793516
29,Entertainment,-5311217246468775200
30,Internet,9213653917245580410
30,Tech,2373442895034963753
30,Software,766138134349121984
30,Autonomousdriving,5432775636336383657
31,Automakers,5994205300980869916
31,Manufacturing,918788116521242338
32,Restaurantchains,8667423472038992413
32,Food,-1791250089609384727
33,Aerospace,836579566703634303
33,Defensecontractors,474986800324994455
34,Conglomerate,5540569127684541958
35,Tech,2373442895034963753
35,Software,766138134349121984
35,Dowjones,-7335146667561650934
35,TechHardware,1748841266191066881
35,Electronics,-2937793794179883072
36,Retail,8659073855545147165
38,Automakers,5994205300980869916
38,Manufacturing,918788116521242338
39,Entertainment,-5311217246468775200
39,Dowjones,-7335146667561650934
40,Tech,2373442895034963753
40,Software,766138134349121984
41,Hotels,-2209076433672162417
41,Travel,2883696693193604344
42,Aircraftmanufacturers,-6160482169693548275
42,Aerospace,836579566703634303
42,Dowjones,-7335146667561650934
42,Manufacturing,918788116521242338
43,Pharmaceuticals,8926960006196816921
43,Dowjones,-7335146667561650934
43,Biotech,-5477649158227911950
44,Food,-1791250089609384727
45,Tech,2373442895034963753
45,TechHardware,1748841266191066881
45,Electronics,-2937793794179883072
46,ITservices,5294247540503510568
46,Professionalservices,2898755620386977973
47,ScientificTechnicalInstruments,2033596973466528053
47,DiagnosticsandTesting,8570699210883174081
47,Biotech,-5477649158227911950
48,Airlines,-6774808088778716647
48,Travel,2883696693193604344
48,Transportation,3140530495907979414
50,Professionalservices,2898755620386977973
51,Semiconductors,7893943476131326539
51,Tech,2373442895034963753
51,Dowjones,-7335146667561650934
51,TechHardware,1748841266191066881
51,Manufacturing,918788116521242338
53,Hotels,-2209076433672162417
53,Travel,2883696693193604344
54,Telecommunication,-366396660629370360
54,Dowjones,-7335146667561650934
55,Aerospace,836579566703634303
55,Defensecontractors,474986800324994455
55,Aircraftmanufacturers,-6160482169693548275
55,Manufacturing,918788116521242338
56,Medicaldevices,-2739338454252634078
57,Dowjones,-7335146667561650934
57,Machinerymanufacturing,-3103102678660859997
57,Manufacturing,918788116521242338
58,Dowjones,-7335146667561650934
58,Consumergoods,3574918603920959279
59,Realestate,199837547090313934
59,Investment,5327786409141802125
60,Defensecontractors,474986800324994455
61,Retail,8659073855545147165
62,Retail,8659073855545147165
62,Clothing,-4644728342255861508
63,Restaurantchains,8667423472038992413
63,Food,-1791250089609384727
64,Restaurantchains,8667423472038992413
64,Dowjones,-7335146667561650934
64,Food,-1791250089609384727
65,Automakers,5994205300980869916
65,Tech,2373442895034963753
65,ElectricVehicles,-8747995993791387874
65,Bitcoin,2642950483153609966
65,Manufacturing,918788116521242338
65,EVcharging,-3738181771737897500
65,Autonomousdriving,5432775636336383657
66,Dowjones,-7335146667561650934
66,Aerospace,836579566703634303
66,Defensecontractors,474986800324994455
67,Retail,8659073855545147165
68,Healthcare,4999567491202240723
68,Insurance,7000230057071041224
70,Clothing,-4644728342255861508
70,Retail,8659073855545147165
71,Insurance,7000230057071041224
72,Dowjones,-7335146667561650934
72,GlovesPPE,3879227757795634341
73,Telecommunication,-366396660629370360
74,OilGas,-4192961412728851669
74,Energy,-2490813042158503427
75,Airlines,-6774808088778716647
75,Travel,2883696693193604344
75,Transportation,3140530495907979414
76,ITservices,5294247540503510568
78,Healthcare,4999567491202240723
79,Retail,8659073855545147165
80,Aerospace,836579566703634303
80,Defensecontractors,474986800324994455
81,Tech,2373442895034963753
81,Internet,9213653917245580410
82,Insurance,7000230057071041224
82,Professionalservices,2898755620386977973
83,Manufacturing,918788116521242338
83,Engineering,7526853480566394029
84,Travel,2883696693193604344
84,CruiseLines,-4084478583062520063
85,Tech,2373442895034963753
85,Electronics,-2937793794179883072
85,Networkinghardware,-3489790265185160176
85,Dowjones,-7335146667561650934
85,Telecommunicationsequipment,-7218120107949221687
85,TechHardware,1748841266191066881
86,Airlines,-6774808088778716647
86,Travel,2883696693193604344
86,Transportation,3140530495907979414
88,Restaurantchains,8667423472038992413
88,Food,-1791250089609384727
89,Banks,5423772148476418639
89,Financialservices,996514602531674170
89,Investment,5327786409141802125
90,Sportsgoods,6391679374394326830
90,Footwear,3919027092552316727
90,Dowjones,-7335146667561650934
90,Clothing,-4644728342255861508
91,Food,-1791250089609384727
92,Professionalservices,2898755620386977973
92,ITservices,5294247540503510568
92,Tech,2373442895034963753
93,Pharmaceuticals,8926960006196816921
93,Biotech,-5477649158227911950
94,Beverages,1448174480227667635
94,Dowjones,-7335146667561650934
95,Software,766138134349121984
95,Dowjones,-7335146667561650934
95,Tech,2373442895034963753
96,Conglomerate,5540569127684541958
97,Medicaldevices,-2739338454252634078
99,Machinerymanufacturing,-3103102678660859997
99,Manufacturing,918788116521242338
100,Pharmaceuticals,8926960006196816921
100,Biotech,-5477649158227911950
101,Telecommunication,-366396660629370360
102,Restaurantchains,8667423472038992413
102,Food,-1791250089609384727
104,Healthcare,4999567491202240723
104,Insurance,7000230057071041224
105,Insurance,7000230057071041224
107,Tires,1872452259686374751
108,Luxurygoods,1186266117930339670
108,Retail,8659073855545147165
109,Professionalservices,2898755620386977973
109,Advertising,7742423205113412157
110,Toolmanufacturers,6447818282228269151
110,Manufacturing,918788116521242338
111,AutomotiveSuppliers,-1093391624519020231
114,Banks,5423772148476418639
114,Financialservices,996514602531674170
115,Tobacco,8606360336396138978
116,Retail,8659073855545147165
117,HomeKitchenAppliances,-8539574359071434670
117,Manufacturing,918788116521242338
118,Healthcare,4999567491202240723
119,Genomics,7669643140906320693
119,Biotech,-5477649158227911950
119,Manufacturing,918788116521242338
120,Pharmaceuticals,8926960006196816921
120,Dowjones,-7335146667561650934
120,Biotech,-5477649158227911950
121,Electronics,-2937793794179883072
122,Financialservices,996514602531674170
122,Tech,2373442895034963753
123,Dowjones,-7335146667561650934
123,Financialservices,996514602531674170
124,OilGas,-4192961412728851669
124,Energy,-2490813042158503427
125,Airlines,-6774808088778716647
125,Travel,2883696693193604344
125,Transportation,3140530495907979414
127,Retail,8659073855545147165
129,Professionalservices,2898755620386977973
129,ITservices,5294247540503510568
129,Software,766138134349121984
129,Tech,2373442895034963753
131,PaintCoating,1335565877116293984
132,Tech,2373442895034963753
132,Networkinghardware,-3489790265185160176
133,Pharmaceuticals,8926960006196816921
133,Biotech,-5477649158227911950
133,Healthcare,4999567491202240723
134,Software,766138134349121984
134,ITservices,5294247540503510568
134,Professionalservices,2898755620386977973
134,Tech,2373442895034963753
135,Machinerymanufacturing,-3103102678660859997
135,Manufacturing,918788116521242338
136,Banks,5423772148476418639
136,Financialservices,996514602531674170
140,Tech,2373442895034963753
140,ITservices,5294247540503510568
140,Professionalservices,2898755620386977973
141,Healthcare,4999567491202240723
142,Retail,8659073855545147165
142,Electronics,-2937793794179883072
143,Advertising,7742423205113412157
146,OilGas,-4192961412728851669
146,Energy,-2490813042158503427
148,Retail,8659073855545147165
148,Drugstore,3865013570724868484
148,Pharmaceuticals,8926960006196816921
149,Banks,5423772148476418639
149,Financialservices,996514602531674170
150,Gambling,-3256085164464164845
150,Hotels,-2209076433672162417
150,Entertainment,-5311217246468775200
150,Travel,2883696693193604344
152,Banks,5423772148476418639
152,Financialservices,996514602531674170
154,Healthcare,4999567491202240723
154,MedicalCareFacilities,9105344788745331509
155,Tech,2373442895034963753
155,TechHardware,1748841266191066881
155,Electronics,-2937793794179883072
156,Banks,5423772148476418639
156,Financialservices,996514602531674170
158,Retail,8659073855545147165
159,DiagnosticsandTesting,8570699210883174081
160,Biotech,-5477649158227911950
160,Pharmaceuticals,8926960006196816921
161,Packaging,1057308400848339902
162,Chemicals,1532779266960090644
162,PaintCoating,1335565877116293984
163,AutomotiveSuppliers,-1093391624519020231
164,Banks,5423772148476418639
164,Dowjones,-7335146667561650934
164,Financialservices,996514602531674170
165,Insurance,7000230057071041224
166,Gambling,-3256085164464164845
166,Entertainment,-5311217246468775200
167,WasteRecycling,4111722913158069628
168,Tech,2373442895034963753
168,TechHardware,1748841266191066881
168,Semiconductors,7893943476131326539
172,Medicaldevices,-2739338454252634078
173,autoparts,1086841473223344843
174,Food,-1791250089609384727
174,Restaurantchains,8667423472038992413
175,Healthcare,4999567491202240723
176,Tech,2373442895034963753
176,Semiconductors,7893943476131326539
176,TechHardware,1748841266191066881
177,Manufacturing,918788116521242338
178,Toolmanufacturers,6447818282228269151
178,Manufacturing,918788116521242338
179,CosmeticsandBeauty,-1391700480064620338
179,Consumergoods,3574918603920959279
180,Hotels,-2209076433672162417
180,Gambling,-3256085164464164845
180,Entertainment,-5311217246468775200
180,Travel,2883696693193604344
181,Hotels,-2209076433672162417
181,Travel,2883696693193604344
182,Software,766138134349121984
182,ITsecurity,-6218229013132378724
182,Tech,2373442895034963753
183,Defensecontractors,474986800324994455
184,Financialservices,996514602531674170
184,Tech,2373442895034963753
186,Transportation,3140530495907979414
189,Transportation,3140530495907979414
189,RentalLeasingServices,8509650716500142439
190,OilGas,-4192961412728851669
190,Dowjones,-7335146667561650934
190,Energy,-2490813042158503427
191,Healthcare,4999567491202240723
193,Financialservices,996514602531674170
193,Banks,5423772148476418639
194,Medicaldevices,-2739338454252634078
196,Insurance,7000230057071041224
197,Professionalservices,2898755620386977973
199,Professionalservices,2898755620386977973
200,Travel,2883696693193604344
200,CruiseLines,-4084478583062520063
202,Food,-1791250089609384727
204,Wellness,1737690534073754958
205,Insurance,7000230057071041224
206,Professionalservices,2898755620386977973
206,Software,766138134349121984
206,Tech,2373442895034963753
207,Pulpandpaper,-2756073516127434538
208,Tech,2373442895034963753
208,Software,766138134349121984
209,Pharmaceuticals,8926960006196816921
209,Biotech,-5477649158227911950
210,Insurance,7000230057071041224
212,Restaurantchains,8667423472038992413
213,Food,-1791250089609384727
217,Dowjones,-7335146667561650934
217,Chemicals,1532779266960090644
218,Financialservices,996514602531674170
218,Banks,5423772148476418639
219,Tech,2373442895034963753
219,Telecommunication,-366396660629370360
220,WasteRecycling,4111722913158069628
221,Pharmaceuticals,8926960006196816921
221,Biotech,-5477649158227911950
223,CruiseLines,-4084478583062520063
223,Travel,2883696693193604344
224,Food,-1791250089609384727
227,Consumergoods,3574918603920959279
229,Healthcare,4999567491202240723
230,Conglomerate,5540569127684541958
231,Ridesharing,-781225771775977297
231,Internet,9213653917245580410
231,Tech,2373442895034963753
231,Transportation,3140530495907979414
232,Food,-1791250089609384727
233,Pharmaceuticals,8926960006196816921
233,Biotech,-5477649158227911950
234,Transportation,3140530495907979414
235,SpecialtyVehicles,8273981569943876362
236,Retail,8659073855545147165
237,Manufacturing,918788116521242338
237,Electronics,-2937793794179883072
237,Tech,2373442895034963753
237,TechHardware,1748841266191066881
238,Consumergoods,3574918603920959279
239,Semiconductors,7893943476131326539
239,Tech,2373442895034963753
239,TechHardware,1748841266191066881
240,Electricity,3312256779847957138
242,Food,-1791250089609384727
242,Retail,8659073855545147165
243,Food,-1791250089609384727
244,Semiconductors,7893943476131326539
244,Tech,2373442895034963753
244,TechHardware,1748841266191066881
245,Financialservices,996514602531674170
245,Tech,2373442895034963753
245,Internet,9213653917245580410
245,Bitcoin,2642950483153609966
246,Railways,463459621687010117
246,Transportation,3140530495907979414
246,Infrastructure,2757938290564691464
248,Manufacturing,918788116521242338
249,Dowjones,-7335146667561650934
249,Insurance,7000230057071041224
250,Electronics,-2937793794179883072
251,Clothing,-4644728342255861508
251,Retail,8659073855545147165
252,Engineering,7526853480566394029
254,Buildingmaterials,7986863683299917669
255,Telecommunicationsequipment,-7218120107949221687
256,Semiconductors,7893943476131326539
256,Electronics,-2937793794179883072
256,Tech,2373442895034963753
257,Usedcarretailer,478601098661270227
257,Carretail,8678176018572341209
258,ITservices,5294247540503510568
258,Professionalservices,2898755620386977973
259,ITservices,5294247540503510568
259,Professionalservices,2898755620386977973
262,Steelproducers,8081884644680932068
262,Steelindustry,4200822821996594004
264,Retail,8659073855545147165
265,Insurance,7000230057071041224
266,Food,-1791250089609384727
267,Engineering,7526853480566394029
268,Chemicals,1532779266960090644
270,Energy,-2490813042158503427
270,Electricity,3312256779847957138
270,OilGas,-4192961412728851669
270,Utilitycompanies,3956169596559111944
271,Transportation,3140530495907979414
272,Energy,-2490813042158503427
272,OilGas,-4192961412728851669
273,Energy,-2490813042158503427
273,OilGas,-4192961412728851669
273,Electricity,3312256779847957138
273,Utilitycompanies,3956169596559111944
274,Steelproducers,8081884644680932068
274,Steelindustry,4200822821996594004
275,Beverages,1448174480227667635
276,Hotels,-2209076433672162417
276,Gambling,-3256085164464164845
276,Entertainment,-5311217246468775200
276,Travel,2883696693193604344
278,Retail,8659073855545147165
279,Realestate,199837547090313934
279,Financialservices,996514602531674170
280,Packaging,1057308400848339902
280,Manufacturing,918788116521242338
281,Electricity,3312256779847957138
281,Energy,-2490813042158503427
281,OilGas,-4192961412728851669
283,Retail,8659073855545147165
284,Software,766138134349121984
284,Tech,2373442895034963753
286,Education,-1919223710078369369
288,MediaPress,7487475509848793516
293,Professionalservices,2898755620386977973
294,Financialservices,996514602531674170
294,Tech,2373442895034963753
296,Software,766138134349121984
296,Tech,2373442895034963753
297,Sportsgoods,6391679374394326830
299,Mining,5530308889125531621
300,Semiconductors,7893943476131326539
300,Tech,2373442895034963753
300,Manufacturing,918788116521242338
301,Transportation,3140530495907979414
302,Steelproducers,8081884644680932068
302,Steelindustry,4200822821996594004
303,Packaging,1057308400848339902
304,Pharmaceuticals,8926960006196816921
304,Dowjones,-7335146667561650934
304,Biotech,-5477649158227911950
305,MedicalCareFacilities,9105344788745331509
308,Retail,8659073855545147165
308,SupermarketChains,-5036390465895693944
310,FlavorsFragrances,8734823338155558507
310,CosmeticsandBeauty,-1391700480064620338
311,Financialservices,996514602531674170
313,Tech,2373442895034963753
313,TechHardware,1748841266191066881
313,Electronics,-2937793794179883072
314,Financialservices,996514602531674170
315,Carrental,-2655407290087228715
316,Food,-1791250089609384727
317,MediaPress,7487475509848793516
317,Entertainment,-5311217246468775200
318,Financialservices,996514602531674170
321,Medicaldevices,-2739338454252634078
321,Tech,2373442895034963753
323,Food,-1791250089609384727
323,Restaurantchains,8667423472038992413
324,Tech,2373442895034963753
324,Semiconductors,7893943476131326539
324,Electronics,-2937793794179883072
324,TechHardware,1748841266191066881
324,Autonomousdriving,5432775636336383657
325,Airlines,-6774808088778716647
325,Travel,2883696693193604344
325,Transportation,3140530495907979414
327,Usedcarretailer,478601098661270227
327,Carretail,8678176018572341209
328,Sportsgoods,6391679374394326830
328,Retail,8659073855545147165
329,Financialservices,996514602531674170
329,Software,766138134349121984
329,Tech,2373442895034963753
333,Healthcare,4999567491202240723
334,Gambling,-3256085164464164845
334,Entertainment,-5311217246468775200
335,Railways,463459621687010117
335,Transportation,3140530495907979414
335,Infrastructure,2757938290564691464
336,Food,-1791250089609384727
337,Internet,9213653917245580410
337,ECommerce,-6817648621524646992
337,Tech,2373442895034963753
338,Restaurantchains,8667423472038992413
338,Food,-1791250089609384727
339,Carretail,8678176018572341209
339,Retail,8659073855545147165
340,Internet,9213653917245580410
340,Usedcarretailer,478601098661270227
340,Carretail,8678176018572341209
342,Healthcare,4999567491202240723
343,Professionalservices,2898755620386977973
343,Engineering,7526853480566394029
344,Tech,2373442895034963753
344,TechHardware,1748841266191066881
344,Semiconductors,7893943476131326539
345,Agriculture,5069297574132306034
345,Chemicals,1532779266960090644
346,Chemicals,1532779266960090644
350,RentalLeasingServices,8509650716500142439
352,Insurance,7000230057071041224
352,Investment,5327786409141802125
353,Clothing,-4644728342255861508
353,Footwear,3919027092552316727
354,Airlines,-6774808088778716647
354,Travel,2883696693193604344
354,Transportation,3140530495907979414
355,Healthcare,4999567491202240723
356,Advertising,7742423205113412157
357,AutomotiveSuppliers,-1093391624519020231
358,Buildingmaterials,7986863683299917669
362,Food,-1791250089609384727
363,Semiconductors,7893943476131326539
363,Tech,2373442895034963753
364,WasteRecycling,4111722913158069628
365,Banks,5423772148476418639
365,Financialservices,996514602531674170
366,Financialservices,996514602531674170
367,Aerospace,836579566703634303
371,Medicaldevices,-2739338454252634078
372,Internet,9213653917245580410
372,Travel,2883696693193604344
372,OnlineTravel,2474690842533498415
372,Tech,2373442895034963753
373,ScientificTechnicalInstruments,2033596973466528053
373,Tech,2373442895034963753
374,Financialservices,996514602531674170
374,Banks,5423772148476418639
375,Banks,5423772148476418639
375,Financialservices,996514602531674170
376,Chemicals,1532779266960090644
377,Transportation,3140530495907979414
378,Pharmaceuticals,8926960006196816921
378,Biotech,-5477649158227911950
380,Telecommunicationsequipment,-7218120107949221687
381,Semiconductors,7893943476131326539
381,Tech,2373442895034963753
381,TechHardware,1748841266191066881
382,Biotech,-5477649158227911950
383,Insurance,7000230057071041224
383,Investment,5327786409141802125
383,Financialservices,996514602531674170
385,Electronics,-2937793794179883072
385,Manufacturing,918788116521242338
386,Investment,5327786409141802125
387,WasteRecycling,4111722913158069628
388,Electronics,-2937793794179883072
389,Transportation,3140530495907979414
390,Railways,463459621687010117
390,Infrastructure,2757938290564691464
391,Financialservices,996514602531674170
391,Insurance,7000230057071041224
393,Realestate,199837547090313934
393,Investment,5327786409141802125
393,REITs,-4500283884546034606
395,Internet,9213653917245580410
395,ECommerce,-6817648621524646992
395,Tech,2373442895034963753
395,Retail,8659073855545147165
397,AutomotiveSuppliers,-1093391624519020231
397,autoparts,1086841473223344843
399,Financialservices,996514602531674170
401,Food,-1791250089609384727
