ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
2,Other activities auxiliary to financial services that are not classified elsewhere,66199 (EMTAK 2008),66.19,Electronic submission
3,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
4,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
5,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
6,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,Annual report
7,Manufacture of plastic packing goods \xc2\xa0,22221 (EMTAK 2008),22.22,Annual report
8,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Statistics Estonia
9,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission
11,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
12,Holiday home (chalets),55202 (EMTAK 2008),55.2,Annual report
14,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
17,Activities attorneys and law offices,69101 (EMTAK 2008),69.1,Annual report
18,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
19,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report
20,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
21,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Electronic submission
22,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
23,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report
24,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report
25,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Electronic submission
27,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
33,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
34,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
36,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
37,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Field of activity code data encoding by RIK
38,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report
40,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report
42,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
45,Landscape service activities,81301 (EMTAK 2008),81.3,Annual report
46,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
49,Bee keeping,01491 (EMTAK 2008),1.49,Annual report
50,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
51,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report
52,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report
53,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
54,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
55,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
56,Other human resources provision,78301 (EMTAK 2008),78.3,Annual report
57,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report
58,Other education n.e.c.,8559 (EMTAK 2008),85.59,Electronic submission
60,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission
64,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
67,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
68,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
69,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
70,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
71,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
72,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
73,Combined facilities support activities,81101 (EMTAK 2008),81.1,Annual report
74,Other electronical communications services,61901 (EMTAK 2008),61.9,Annual report
75,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
77,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Other source
79,Specialised design activities,74101 (EMTAK 2008),74.1,Electronic submission
80,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
82,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
84,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
86,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report
87,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
90,Retail sale of household articles and equipment n.e.c.,47599 (EMTAK 2008),47.59,Annual report
92,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission
93,Development of building projects,41101 (EMTAK 2008),41.1,Electronic submission
94,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
98,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
99,Web portals,63121 (EMTAK 2008),63.12,Electronic submission
101,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report
102,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
103,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report
104,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
105,Hotels,55101 (EMTAK 2008),55.1,Annual report
106,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
108,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission
111,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
112,Other real estate management or related activities,68329 (EMTAK 2008),68.32,Annual report
113,Photographic activities,74201 (EMTAK 2008),74.2,Annual report
114,Activities of holding companies,64201 (EMTAK 2008),64.2,Recoding
115,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,Annual report
117,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
118,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report
119,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
123,Performing arts,9001 (EMTAK 2008),90.01,Annual report
124,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Annual report
125,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report
126,Car washing and other services,45202 (EMTAK 2008),45.2,Electronic submission
127,Car washing and other services,45202 (EMTAK 2008),45.2,Annual report
129,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
130,Manufacture of furniture parts,31092 (EMTAK 2008),31.09,Annual report
131,Electrical installation,4321 (EMTAK 2008),43.21,Annual report
132,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
134,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,Annual report
135,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Electronic submission
136,Retail trade of motor vehicle parts and accessories,4532 (EMTAK 2008),45.32,Annual report
137,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,Annual report
139,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report
140,Sea ship loading services (freighting),52292 (EMTAK 2008),52.29,Annual report
143,"Manufacture of prefabricated wooden buildings (e.g. saunas, summerhouses, houses) or elements thereof",16232 (EMTAK 2008),16.23,Annual report
145,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
146,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
147,Activities of insurance agents and brokers,66221 (EMTAK 2008),66.22,Annual report
148,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report
149,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
150,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report
151,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report
152,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission
155,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission
156,Wholesale of wood and products for the first-stage processing of wood,46731 (EMTAK 2008),46.73,Annual report
157,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
158,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",08111 (EMTAK 2008),8.11,Electronic submission
160,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission
161,Motion picture and video production,59111 (EMTAK 2008),59.11,Electronic submission
162,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
163,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report
164,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report
166,Removal services,49421 (EMTAK 2008),49.42,Annual report
167,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
168,Other hobby education,85529 (EMTAK 2008),85.52,Annual report
169,Web portals,63121 (EMTAK 2008),63.12,Electronic submission
170,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
171,Car washing and other services,45202 (EMTAK 2008),45.2,Annual report
172,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
173,Other publishing activities,58191 (EMTAK 2008),58.19,Annual report
174,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
175,Other sports activities,9319 (EMTAK 2008),93.19,Electronic submission
176,Other service activities,96099 (EMTAK 2008),96.09,Annual report
177,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Electronic submission
178,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report
179,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
180,Retail sale of goods n.e.c.,47789 (EMTAK 2008),47.78,Annual report
181,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
182,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.9,Electronic submission
183,Wholesale trade of motor vehicle parts and accessories,45311 (EMTAK 2008),45.31,Annual report
184,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Annual report
185,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
186,Retail sale of souvenirs and craftwork articles in specialised stores,47783 (EMTAK 2008),47.78,Electronic submission
187,Fund management activities,66301 (EMTAK 2008),66.3,Electronic submission
188,Car washing and other services,45202 (EMTAK 2008),45.2,Electronic submission
190,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
192,Other business support service activities n.e.c.,8299 (EMTAK 2008),82.99,Annual report
193,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
194,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
195,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission
197,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission
198,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report
199,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
200,Other food service activities,56291 (EMTAK 2008),56.29,Annual report
201,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission
202,Repair and maintenance of other transport equipment,33171 (EMTAK 2008),33.17,Annual report
203,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report
205,Other legal activities,69109 (EMTAK 2008),69.1,Annual report
206,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission
207,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Electronic submission
208,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission
209,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
210,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
211,Temporary employment agency activities,78201 (EMTAK 2008),78.2,Annual report
212,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report
213,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Annual report
214,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
215,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
216,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
217,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
218,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report
221,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
223,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
224,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
225,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
226,Business and other management consultancy activities,7022 (EMTAK 2008),70.22,Annual report
227,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
228,Retail sale via mail order houses or via Internet,4791 (EMTAK 2008),47.91,Annual report
232,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission
233,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report
234,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report
235,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,Annual report
236,Freight transport by road,49411 (EMTAK 2008),49.41,Field of activity code data encoding by RIK
237,Pet care services,96091 (EMTAK 2008),96.09,Annual report
239,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report
242,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission
244,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
245,Removal services,49421 (EMTAK 2008),49.42,Annual report
246,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission
247,Agents involved in the sale of timber and building materials,46131 (EMTAK 2008),46.13,Annual report
248,Manufacture of fertilisers and nitrogen compounds,20151 (EMTAK 2008),20.15,Annual report
249,Wholesale of solid fuels,46711 (EMTAK 2008),46.71,Annual report
250,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
251,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report
252,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Annual report
253,Other earth and soil works,43129 (EMTAK 2008),43.12,Annual report
258,Activities of other membership organisations n.e.c.,9499 (EMTAK 2008),94.99,Annual report
262,Museums activities,91021 (EMTAK 2008),91.02,Annual report
263,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,Annual report
264,Activities of business and employers membership organisations,9411 (EMTAK 2008),94.11,Annual report
265,Raising of other animals,01499 (EMTAK 2008),1.49,Annual report
268,Environment and nature protection associations,94996 (EMTAK 2008),94.99,Annual report
270,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,Annual report
272,Activities of parties,94921 (EMTAK 2008),94.92,Annual report
274,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
275,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
281,Temporary employment agency activities,78201 (EMTAK 2008),78.2,Annual report
282,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Electronic submission
283,Wholesale of other machinery and equipment,4669 (EMTAK 2008),46.69,Annual report
285,Organisation of conventions and trade shows,82301 (EMTAK 2008),82.3,Annual report
286,Activities of holding companies,64201 (EMTAK 2008),64.2,Electronic submission
287,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
288,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.9,Electronic submission
289,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Electronic submission
291,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
292,Translation and interpretation activities,74301 (EMTAK 2008),74.3,Electronic submission
293,Mixed farming,01501 (EMTAK 2008),1.5,Field of activity code data encoding by RIK
295,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
297,Manufacture of prefabricated metal buildings,25111 (EMTAK 2008),25.11,Annual report
298,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
302,Manufacture of doors and windows of metal \xc2\xa0,25121 (EMTAK 2008),25.12,Annual report
303,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Electronic submission
304,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report
305,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
306,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report
307,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report
308,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,Annual report
309,Non-specialised wholesale trade,46901 (EMTAK 2008),46.9,Annual report
310,"Wholesale of wood, construction materials and sanitary equipment",4673 (EMTAK 2008),46.73,Annual report
311,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,Annual report
312,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report
313,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,Annual report
316,Language training,85591 (EMTAK 2008),85.59,Annual report
317,Language training,85591 (EMTAK 2008),85.59,Annual report
320,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
321,Landscape service activities,81301 (EMTAK 2008),81.3,Annual report
323,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
326,Other transportation support activities,5229 (EMTAK 2008),52.29,Annual report
327,Wholesale of metals and metal ores,46721 (EMTAK 2008),46.72,Annual report
328,Language training,85591 (EMTAK 2008),85.59,Electronic submission
329,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,Annual report
330,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,Electronic submission
331,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
333,Rental and operating of own or leased real estate,6820 (EMTAK 2008),68.2,Annual report
335,"Wholesale of fish, crustaceans and fish products",46381 (EMTAK 2008),46.38,Annual report
336,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
338,Culture centres and community centres,93291 (EMTAK 2008),93.29,Annual report
339,Hotels,55101 (EMTAK 2008),55.1,Annual report
340,"Retail sale via stalls and markets of food, beverages and tobacco products",47811 (EMTAK 2008),47.81,Annual report
341,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report
344,Electrical installation,4321 (EMTAK 2008),43.21,Annual report
345,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
348,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
349,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission
351,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
352,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
353,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
354,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
355,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
357,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission
358,Media representation,73121 (EMTAK 2008),73.12,Annual report
359,Activities of dance schools,85522 (EMTAK 2008),85.52,Annual report
361,Removal services,49421 (EMTAK 2008),49.42,Annual report
362,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
364,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,Annual report
365,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Annual report
366,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
369,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
371,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Electronic submission
372,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
373,Other human resources provision,78301 (EMTAK 2008),78.3,Electronic submission
375,"Leasing of intellectual property and similar products, except copyrighted works",77401 (EMTAK 2008),77.4,Electronic submission
376,Rental and leasing of cars and light motor vehicles,77111 (EMTAK 2008),77.11,Annual report
377,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report
378,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
381,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
382,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
383,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
387,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report
388,Hotels,55101 (EMTAK 2008),55.1,Annual report
389,Web portals,63121 (EMTAK 2008),63.12,Electronic submission
390,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,Electronic submission
392,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission
393,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
394,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
395,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
398,Support services to forestry,02401 (EMTAK 2008),2.4,Annual report
399,Installation of electrical wiring and fittings,43211 (EMTAK 2008),43.21,Annual report
403,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report
404,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
406,Support services to forestry,02401 (EMTAK 2008),2.4,Annual report
407,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
410,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report
412,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report
415,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission
416,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
417,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
418,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Electronic submission
419,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report
421,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,Electronic submission
423,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report
424,Language training,85591 (EMTAK 2008),85.59,Annual report
425,Language training,85591 (EMTAK 2008),85.59,Electronic submission
426,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report
427,Culture centres and community centres,93291 (EMTAK 2008),93.29,Annual report
429,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,Annual report
430,Language training,85591 (EMTAK 2008),85.59,Annual report
431,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
434,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
437,"Installation of heating, ventilation and air conditioning equipment",43221 (EMTAK 2008),43.22,Annual report
438,Translation and interpretation activities,74301 (EMTAK 2008),74.3,Annual report
439,Manufacture of other special-purpose machinery n.e.c.,28991 (EMTAK 2008),28.99,Electronic submission
440,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report
441,Combined facilities support activities,81101 (EMTAK 2008),81.1,Annual report
443,Landscape service activities,81301 (EMTAK 2008),81.3,Annual report
445,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission
447,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report
448,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission
450,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report
451,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Electronic submission
453,Raising of other cattle and buffaloes,01421 (EMTAK 2008),1.42,Annual report
454,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report
456,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Annual report
458,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
459,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
460,Museums activities,91021 (EMTAK 2008),91.02,Electronic submission
461,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report
462,Non-specialised wholesale trade,46901 (EMTAK 2008),46.9,Annual report
463,Car washing and other services,45202 (EMTAK 2008),45.2,Annual report
465,Installation of fire and burglar alarm systems,43212 (EMTAK 2008),43.21,Annual report
467,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
468,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
469,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report
470,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
472,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
474,Pre\xe2\x88\x92press and pre\xe2\x88\x92media services,18131 (EMTAK 2008),18.13,Annual report
475,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report
476,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
477,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
480,Electrical installation,4321 (EMTAK 2008),43.21,Electronic submission
481,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Annual report
482,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
483,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Electronic submission
484,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
486,Passenger air transport,51101 (EMTAK 2008),51.1,Annual report
487,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
488,Sports and recreation education,8551 (EMTAK 2008),85.51,Annual report
490,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Annual report
492,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
495,Wholesale of medical appliances and surgical and orthopaedic instruments and devices,46462 (EMTAK 2008),46.46,Annual report
496,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report
